doc_id,message,Category,file_name
0,00001.7848dde101aa985090474a91ec93fcf0,1,0
1,00002.d94f1b97e48ed3b553b3508d116e6a09,1,1
2,00003.2ee33bc6eacdb11f38d052c44819ba6c,1,2
3,00004.eac8de8d759b7e74154f142194282724,1,3
4,00005.57696a39d7d84318ce497886896bf90d,1,4
5,00006.5ab5620d3d7c6c0db76234556a16f6c1,1,5
6,00007.d8521faf753ff9ee989122f6816f87d7,1,6
7,00008.dfd941deb10f5eed78b1594b131c9266,1,7
8,00009.027bf6e0b0c4ab34db3ce0ea4bf2edab,1,8
9,00010.445affef4c70feec58f9198cfbc22997,1,9
10,00011.61816b9ad167657773a427d890d0468e,1,10
11,00012.381e4f512915109ba1e0853a7a8407b2,1,11
12,00013.d3f0b591a65f116ea5d9d4ad919f83aa,1,12
13,00014.7d38c46424f24fc8012ac15a95a2ac14,1,13
14,00015.048434ab64c86cf890eda1326a5643f5,1,14
15,00016.67fb281761ca1051a22ec3f21917e7c0,1,15
16,00017.1a938ecddd047b93cbd7ed92c241e6d1,1,16
17,00018.5b2765c42b7648d41c93b9b27140b23a,1,17
18,00019.bbc97ad616ffd06e93ce0f821ca8c381,1,18
19,00020.29725cf331fc21e18a1809e7d8b27332,1,19
20,00021.effe1449462a9d7ad7af0f1c94b1a237,1,20
21,00022.8203cdf03888f656dc0381701148f73d,1,21
22,00023.b6d27c684f5fc803cfa1060adb2d0805,1,22
23,00024.6b5437b14d403176c3f046c871b5b52f,1,23
24,00025.619ab8051359048795e3cd09e82ad1a0,1,24
25,00026.da18dbed27ae933172f7a70f860c6ad0,1,25
26,00027.d1d0f97e096fe08fc80a4939355759e7,1,26
27,00028.ace98eff213f4e6314b5571aece625e1,1,27
28,00029.de865ad8d5ad0df985ae2f72388befba,1,28
29,00030.0c9cdd9d4025bd55dac02719ec8d29dc,1,29
30,00031.a78bb452b3a7376202b5e62a81530449,1,30
31,00032.7b07a09236ce9feb12d80197144d3206,1,31
32,00033.9babb58d9298daa2963d4f514193d7d6,1,32
33,00034.8e582263070076dfe6000411d9b13ce6,1,33
34,00035.7ce3307b56dd90453027a6630179282e,1,34
35,00036.256602e2cb5a5b373bdd1fb631d9f452,1,35
36,00037.21cc985cc36d931916863aed24de8c27,1,36
37,00038.8d93819b95ff90bf2e2b141c2909bfc9,1,37
38,00039.889d785885f092c269741b11f2124dce,1,38
39,00040.949a3d300eadb91d8745f1c1dab51133,1,39
40,00041.f1b3402799046db3c1f143a911dc085d,1,40
41,00042.3e934ba4075f82283d755174d2642b76,1,41
42,00043.548c447db5d9ba3f5546de96baa9b0e6,1,42
43,00044.9eece8e53a8982c26558b9eb38230bb8,1,43
44,00045.7282c2c4e009744f2f3450d370009235,1,44
45,00046.e0fd04360622dbe9250380447f6465cc,1,45
46,00047.0d7a240951e460b5884a8886ee64a8c3,1,46
47,00048.8a64080dbd9d868358a22b655fb1b1cd,1,47
48,00049.09e42d433e0661f264a25c7d4ed6e3ea,1,48
49,00050.45de99e8c120fddafe7c89fb3de1c14f,1,49
50,00051.fd20658f0e586d1f27f9396401f4981c,1,50
51,00052.edb775ef7470f35cd593d07e5a0466a8,1,51
52,00053.d88d8b162ca1b7108221fb338cd7d0a5,1,52
53,00054.62863160db27f89df8c73275b6dae134,1,53
54,00055.58adfd0c60ebc04370658a76b9352aa1,1,54
55,00056.c56d61cadd81b4ade0030c8dee384704,1,55
56,00057.0a2e17bde9485e999ac2259df38528e2,1,56
57,00058.64bb1902c4e561fb3e521a6dbf8625be,1,57
58,00059.dc5b9ea22c6848c97871f0d9576cc931,1,58
59,00060.ec71d52a6f585ace52f4a2a2be2adfce,1,59
60,00061.bec763248306fb3228141491856ed216,1,60
61,00062.3019eac14dfe3c503c03e25e70e63091,1,61
62,00063.2334fb4e465fc61e8406c75918ff72ed,1,62
63,00064.65b95365450ebe5eef61e7f1c60edc5e,1,63
64,00065.6203de135559b319326445aafd68dbca,1,64
65,00066.6afbb1258bcf3e4d59d53c847a84e469,1,65
66,00067.ec108870b01dc3ccb8fabc5def869ca5,1,66
67,00068.d10af636a6082d5172ceb34a944486e6,1,67
68,00069.066b1a012235d062a5da73eead4a6b35,1,68
69,00070.ab34b6c044a55bef3d6c1f64b7521773,1,69
70,00071.4b7e06d97286ec97820a0f8725878126,1,70
71,00072.d519a73b92f487519c2bc5ba45f5eb2c,1,71
72,00073.8dcd40346d48c69a9e075e935395e96d,1,72
73,00074.51aab41b27a9ba7736803318a2e4c8de,1,73
74,00075.28a918cd03a0ef5aa2f1e0551a798108,1,74
75,00076.066bf704d9c4a3cf45da5ac7a6b684f8,1,75
76,00077.c85b7442247d61308f15d86aa125ec28,1,76
77,00078.6944f51ce9c0586d8f9137d2d2207df0,1,77
78,00079.cc3fa7d977a44a09d450dde5db161c37,1,78
79,00080.5a7386cb47846dfef68429241ad80354,1,79
80,00081.123b29a781b2e8c83763e5d440e672a3,1,80
81,00082.0341a767bbaca01fd89b6236ef681257,1,81
82,00083.c1891c507954e5b75b72b16712e799bf,1,82
83,00084.a9f5b3a9b7feb7070f25ae76320c8ec6,1,83
84,00085.f63a9484ac582233db057dbb45dc0eaf,1,84
85,00086.9c945bb90f76a8b76331599106c28429,1,85
86,00087.f09438ca6392721e63696f4f753effbb,1,86
87,00088.1673f91313df07da1a18b2fc458dd4c4,1,87
88,00089.7e7baae6ef4a8fb945d7b3fe551329fe,1,88
89,00090.52630c4c07cd069c7bc7658c1a7a7253,1,89
90,00091.bcaf9648660ba372bc4d542aa06456ad,1,90
91,00092.8ca54ce0c31e6149b5ef05c0108743be,1,91
92,00093.ca4edc32d2ff8e1dbb5f9c0b15ec435b,1,92
93,00094.7f704c47988221c18cb6a620409442b8,1,93
94,00095.17594a58d6736a8f6a1990b0b92090cd,1,94
95,00096.a791864be5f1205bf2cea0adf241b25a,1,95
96,00097.013347cc91e7d0915074dccb0428883f,1,96
97,00098.f1f1a3bd3ec32d8e967fba2a7a03e1e5,1,97
98,00099.d41a21dc96bb3c3342292f7c9fa4db1e,1,98
99,00100.81611d62ec1f172be947fda4af7caa2c,1,99
100,00101.5a24bf3ba3962442179b1a0325a1d1cb,1,100
101,00102.fb09d2f978a271fba5a3ffc172003ed9,1,101
102,00103.2eef38789b4ecce796e7e8dbe718e3d2,1,102
103,00104.04d165183bb8feab0956362c70591b3d,1,103
104,00105.00951a21b8464f4eb4e106d6b14c68b6,1,104
105,00106.f20a99365b7016f8e9dcd8620b472e74,1,105
106,00107.e6cd2d9f49514710dc85db0fef5b8726,1,106
107,00108.ce25a55c6b4cc9bcd32ed090ee20785a,1,107
108,00109.eda1664dd3b3c31b67e5cd04553b6546,1,108
109,00110.f3c4ebe14b439420b53212332326181f,1,109
110,00111.ae6aba48f8aa83849be067076eea8ce5,1,110
111,00112.be81f2f6f7940a9403c9809b4a9e243a,1,111
112,00113.eebc11982ccc4730fb8759f94400ce19,1,112
113,00114.e337195587d1dbb42e8a2b693e9fc938,1,113
114,00115.c97af50ef7ccd816f95bbdc6f4d226b2,1,114
115,00116.29e39a0064e2714681726ac28ff3fdef,1,115
116,00117.b3ceb6525a1dc935463f3e3080110039,1,116
117,00118.b31615605a37b4878bd1de4f829c89cb,1,117
118,00119.7bd666ac52f079fb3b5ff0be83b55286,1,118
119,00120.58579af867ff9a702cff23e7b8818a59,1,119
120,00121.bf18a63d6e7d40409f8b722036eadd82,1,120
121,00122.98bcaad36eb81e75911371f841f28dfc,1,121
122,00123.a5ee0040ec9a30b3f32f61e547fa5f8f,1,122
123,00124.db848e36f1b4c2705cbc16ef33a302d4,1,123
124,00125.120d27c936362896c00a3db9d3a4571e,1,124
125,00126.e98e1ba87a38e0cceeb55f3b86dbd4dd,1,125
126,00127.3500d109361b544b0937523adb763588,1,126
127,00128.721b6b20d5834d490662e2ae8c5c0684,1,127
128,00129.1080cea3a532759b015dc071d033749d,1,128
129,00130.c8128e89eff5b0e61aa864ebfd96afba,1,129
130,00131.d955acc659fb151479460f9dd2f87efe,1,130
131,00132.0ead3e293c6c41cbffb69670e8b85ae7,1,131
132,00133.17dccf2499a4245b83890e0784c43499,1,132
133,00134.9f41f4111a33dc1efca04de72e1a105a,1,133
134,00135.00e388e3b23df6278a8845047ca25160,1,134
135,00136.faa39d8e816c70f23b4bb8758d8a74f0,1,135
136,00137.09969121c8540730f1020b5a700b4c42,1,136
137,00138.c15973a4d40bed4333079296be2522ca,1,137
138,00139.b2a205ac25d7d907cdfb3f865dbae1ae,1,138
139,00140.eba666846fa0a138a90aeef51a627022,1,139
140,00141.c30e993ea9a98743b0a98733bdfba8c2,1,140
141,00142.eddc7114a8566cbf83fa8210bf0d3603,1,141
142,00143.13c0751d4b9f10098bb3ac85a435d884,1,142
143,00144.4eeba2f228a8658e0d2e3a64764f4f31,1,143
144,00145.0ec326fee0570953d684e40edd3fa7b8,1,144
145,00146.e9b64856c0cd982a64f47c9ab9084287,1,145
146,00147.1782d51354c31ea53db25ea927d5c51d,1,146
147,00148.21c30154aa358d903c10c5d8a3ef6ffd,1,147
148,00149.c07359393107925a86798dd72d6a56b3,1,148
149,00150.f97c73fa56460a6afc6d9418ad76b5b5,1,149
150,00151.34bbdbf089edc6f58080753a166a3cfc,1,150
151,00152.8ed8aaed94054e507af5b9c760dd7be6,1,151
152,00153.6a5ffe584834ea334041ab958cadcadb,1,152
153,00154.b6c448ccff434e2dbe2c7c200a36aa31,1,153
154,00155.1c37ce73590cc67186717a491ed0db5f,1,154
155,00156.0b541afe96820e3bb8f900b565608269,1,155
156,00157.52b0a260de7c64f539b0e5d16198b5bf,1,156
157,00158.9c8bf53ed738031b4bfab819c4b3ef13,1,157
